Array Size (bytes),Bandwidth (GB/s)
512,63.2927
768,45.0563
1024,32.5872
1536,29.0006
2048,23.8664
3072,23.0127
4096,20.8811
6144,21.3469
8192,19.884
12288,20.6273
16384,19.5005
24576,20.2807
32768,18.7104
49152,15.8624
65536,11.7631
98304,10.2741
131072,8.73969
196608,8.46938
262144,7.66697
393216,6.79287
524288,5.9895
786432,5.71951
1048576,4.99572
1572864,4.79577
2097152,4.27238
3145728,4.22346
4194304,3.99008
6291456,4.11233
8388608,3.84536
12582912,3.95787
16777216,3.7098
25165824,3.83727
33554432,3.61405
50331648,3.7552
67108864,3.55631
100663296,3.70609
