SIZE,IMPLEMENTATION,GFLOPS
32,blockedk,2.22066
32,blockedm,2.21166
32,non-blocking,2.5098
64,blockedk,10.996
64,blockedm,9.80491
64,non-blocking,3.27975
128,blockedk,12.3478
128,blockedm,10.771
128,non-blocking,8.09286
256,blockedk,9.83858
256,blockedm,11.0036
256,non-blocking,7.51204
512,blockedk,6.6212
512,blockedm,10.7031
512,non-blocking,7.22021
1024,blockedk,6.63336
1024,blockedm,10.6627
1024,non-blocking,7.06818
2048,blockedk,2.59108
2048,blockedm,10.7033
2048,non-blocking,7.03309
4096,blockedk,2.00649
4096,blockedm,9.76477
4096,non-blocking,6.83045
8192,blockedk,1.84926
8192,blockedm,9.35014
8192,non-blocking,6.74471
